Id,name,author,relicTime,imageUrl,description,realUrl
2022.52,DuSable,"Margaret Burroughs (American, 1915–2010)","Post-1968, printed 1995",,"Gift of Audrey Thomas McCluskey, Bloomington, IN. Originally from the Estate of Joyce T. Kilkevitch, Chicago, IL, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2022.52
2022.53,The Madonna,"Margaret Burroughs (American, 1915–2010)","1957, printed 1998",,"Gift of Audrey Thomas McCluskey, Bloomington, IN. Originally from the Estate of Joyce T. Kilkevitch, Chicago, IL, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=2022.53
58.35,Bust of a Woman,,400–300 BCE,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=58.35
58.36,Tanagra Figurine of a Standing Woman,,300–200 BCE,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=58.36
58.38,"Haniwa, Head of a Man Wearing a Necklace",,3rd–6th century,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=58.38
58.41,Ritual Food Vessel (Liding),,1300–1045 BCE,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=58.41
58.6,Medallion with Bird,,100 BCE –100 CE,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=58.6
58.42,Place of Darkness,"Abraham Rattner (American, 1893–1978)",1943,,"Gift of Dr. and Mrs. Henry R. Hope, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=58.42
58.9,Anubis,,304–30 BCE,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=58.9
58.5,Standing Man,,1938–1756 BCE,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=58.5
58.8,Pair of Eye Inlays from a Coffin,,2081–1756 BCE,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=58.8
58.7,Jackal,,300–1 BCE BCE,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=58.7
60.39,Mother and Child,"Gari Melchers (American, 1860–1932)",Early 20th century,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.39
59.15,Figure,,20th century,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.15
60.45,Maebyong Vase with Chrysanthemums,Unknown,Mid 12th century,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.45
60.49,Dish with Goldfish and Lotus Blossoms,Unknown,11th–12th century,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.49
60.46,Celadon Bowl with lichee and chrysanthemum,Unknown,11th–12th century,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.46
60.74,Gui (Ritual Food Bowl) (Guǐ),,722–481 BCE,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.74
59.16,Smiling Head,,500–1000,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.16
59.18,Head of Buddha,,3rd–4th century,,"Gift of Mr. Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.18
60.40,Bahram Shah Going to the Red Palace on Saturdays,Unknown,Early 16th century,,"Gift of Dr. and Mrs. Henry R. Hope, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.40
60.41,Alexander battling Zangi,Unknown,Early 16th century,,"Gift of Dr. and Mrs. Henry R. Hope, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.41
60.43,Portrait of Rajah,Unknown,17th century,,"Gift of Dr. and Mrs. Henry R. Hope, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.43
60.42,Royal Hunting Scene with Full-Page Univan (2 leaves),Unknown,15th century,,"Gift of Dr. and Mrs. Henry R. Hope, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.42
60.44,Funerary urn,,7th century,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.44
59.23,Young Man (Kouros),,600–500 BCE,,"Gift of  Mr. and Mrs. Norbert Schimmel, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.23
60.87,Isis with the Infant Horus,,664–525 BCE,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.87
60.5,Head of a Man,,200–300 CE,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.5
60.16,Head of a Woman (from a Tomb Sculpture),,Early 14th century,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.16
60.12,Mounted Warrior,,15th century,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.12
60.15,Standing Virgin and Child,,Early 14th century,,"Gift of Mr. and Mrs. Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.15
59.25,Mourning Virgin,Unidentified French Master,14th century,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.25
60.75,Ritual Wine Vessel (Zun),,1300–1045 BCE,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.75
59.24,Statuette of Standing St. Catherine,,15th century,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.24
59.38,Headdress for Ci Wara Society (Ci Wara Kun),,19th–mid 20th century,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.38
60.76,Ritual Food Vessel (You),,1045–900 BCE,,"Gift of James and Marvelle Adams in honor of William Lowe Bryan, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.76
